"ID","year","loan_limit","Gender","approv_in_adv","loan_type","loan_purpose","Credit_Worthiness","open_credit","business_or_commercial","loan_amount","rate_of_interest","Interest_rate_spread","Upfront_charges","term","Neg_ammortization","interest_only","lump_sum_payment","property_value","construction_type","occupancy_type","Secured_by","total_units","income","credit_type","Credit_Score","co-applicant_credit_type","age","submission_of_application","LTV","Region","Security_Type","Status","dtir1"
140000,2019,"cf","Male","nopre","type1","p3","l1","nopc","nob/c",326500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",4320,"EQUI",635,"EXP","45-54","to_inst",NA,"North","direct",1,NA
31077,2019,"cf","Male","pre","type2","p1","l1","nopc","b/c",516500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",528000,"sb","pr","home","1U",6000,"EXP",542,"CIB","25-34","not_inst",97.8219697,"south","direct",1,48
63879,2019,"ncf","Sex Not Available","nopre","type1","p4","l1","nopc","nob/c",776500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",1408000,"sb","pr","home","1U",3600,"CIB",891,"EXP","55-64","not_inst",55.14914773,"North","direct",1,35
122886,2019,"cf","Sex Not Available","nopre","type1","p3","l1","nopc","nob/c",206500,NA,NA,NA,180,"neg_amm","not_int","not_lpsm",NA,"sb","pr","home","1U",3420,"EQUI",633,"EXP","65-74","to_inst",NA,"south","direct",1,NA
115670,2019,"cf","Sex Not Available","pre","type1","p1","l1","nopc","nob/c",56500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",58000,"sb","pr","home","1U",1140,"CRIF",875,"CIB","25-34","to_inst",97.4137931,"south","direct",1,37
94503,2019,"cf","Male","nopre","type1","p3","l1","nopc","nob/c",106500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",1260,"EQUI",771,"EXP","55-64","to_inst",NA,"North","direct",1,NA
83096,2019,"cf","Sex Not Available","pre","type2","p3","l1","nopc","b/c",186500,NA,NA,NA,240,"not_neg","not_int","not_lpsm",218000,"sb","pr","home","1U",5460,"EXP",595,"EXP","55-64","to_inst",85.55045872,"south","direct",1,51
169926,2019,"cf","Sex Not Available","nopre","type1","p4","l1","nopc","nob/c",516500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",10200,"EQUI",568,"EXP","55-64","not_inst",NA,"south","direct",1,NA
53710,2019,"cf","Female","nopre","type1","p3","l1","nopc","nob/c",376500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",508000,"sb","ir","home","1U",1260,"CIB",732,"CIB","55-64","not_inst",74.11417323,"south","direct",1,57
118347,2019,"cf","Male","pre","type1","p4","l1","nopc","nob/c",636500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",9000,"EQUI",763,"EXP","35-44","to_inst",NA,"North","direct",1,NA
169916,2019,"cf","Sex Not Available","nopre","type2","p3","l1","nopc","b/c",166500,NA,NA,NA,360,"neg_amm","not_int","not_lpsm",178000,"sb","pr","home","1U",1980,"EXP",807,"EXP","65-74","to_inst",93.53932584,"south","direct",1,55
49696,2019,"cf","Female","nopre","type1","p1","l1","nopc","nob/c",816500,NA,NA,NA,300,"neg_amm","not_int","not_lpsm",1148000,"sb","ir","home","2U",10860,"CRIF",592,"CIB","35-44","not_inst",71.12369338,"south","direct",1,53
62800,2019,"cf","Female","nopre","type1","p1","l2","nopc","nob/c",56500,NA,NA,NA,180,"not_neg","not_int","not_lpsm",NA,"sb","sr","home","1U",5400,"EQUI",790,"EXP","55-64","to_inst",NA,"North","direct",1,NA
43941,2019,"cf","Sex Not Available","nopre","type1","p1","l1","nopc","nob/c",306500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",328000,"sb","pr","home","1U",9360,"CIB",525,"EXP","35-44","to_inst",93.44512195,"south","direct",1,44
151317,2019,"cf","Sex Not Available","nopre","type2","p2","l1","nopc","b/c",56500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",1500,"EQUI",722,"EXP","55-64","to_inst",NA,"south","direct",1,NA
101338,2019,"cf","Joint","nopre","type1","p4","l1","nopc","nob/c",456500,NA,NA,NA,144,"not_neg","not_int","not_lpsm",2708000,"sb","pr","home","1U",7320,"CIB",804,"EXP","45-54","to_inst",16.85745938,"North","direct",1,36
78561,2019,"cf","Male","nopre","type1","p4","l1","nopc","nob/c",326500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",6420,"EQUI",514,"EXP","25-34","not_inst",NA,"North","direct",1,NA
88629,2019,"cf","Male","nopre","type2","p3","l1","nopc","b/c",416500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",4320,"EQUI",869,"EXP","45-54","to_inst",NA,"central","direct",1,NA
94078,2019,"cf","Joint","nopre","type1","p1","l1","nopc","nob/c",536500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",718000,"sb","ir","home","1U",33180,"CRIF",887,"EXP","35-44","not_inst",74.72144847,"central","direct",1,42
146978,2019,"ncf","Sex Not Available","nopre","type2","p2","l1","nopc","b/c",36500,5.25,NA,927.37,324,"neg_amm","not_int","not_lpsm",48000,"sb","pr","home","1U",NA,"EQUI",772,"EXP",NA,NA,76.04166667,"south","direct",1,NA
146538,2019,"cf","Sex Not Available","nopre","type2","p4","l1","nopc","b/c",506500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",0,"EQUI",556,"EXP","55-64","to_inst",NA,"south","direct",1,NA
110834,2019,"cf","Male","nopre","type1","p4","l1","nopc","nob/c",386500,NA,NA,NA,360,"not_neg","int_only","not_lpsm",NA,"sb","pr","home","2U",9900,"EQUI",599,"EXP","25-34","not_inst",NA,"central","direct",1,NA
118224,2019,"cf","Sex Not Available","nopre","type2","p3","l1","nopc","b/c",156500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",148000,"sb","pr","home","1U",2940,"EXP",729,"EXP","55-64","to_inst",105.7432432,"south","direct",1,43
112459,2019,"cf","Sex Not Available","nopre","type1","p4","l1","nopc","nob/c",276500,NA,NA,NA,360,"not_neg","not_int","lpsm",328000,"sb","pr","home","1U",4440,"EXP",689,"EXP","65-74","to_inst",84.29878049,"south","direct",1,42
154621,2019,"cf","Female","nopre","type1","p3","l1","nopc","nob/c",146500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",418000,"sb","pr","home","1U",4500,"EXP",716,"EXP","65-74","to_inst",35.04784689,"North","direct",1,47
162592,2019,"cf","Sex Not Available","nopre","type1","p3","l1","nopc","nob/c",386500,NA,NA,NA,360,"neg_amm","not_int","not_lpsm",498000,"sb","pr","home","1U",3300,"CIB",886,"CIB","25-34","to_inst",77.61044177,"south","direct",1,51
90736,2019,"cf","Female","nopre","type2","p2","l1","nopc","b/c",66500,NA,NA,NA,360,"neg_amm","not_int","not_lpsm",358000,"sb","pr","home","1U",1320,"CRIF",581,"CIB","45-54","to_inst",18.57541899,"North","direct",1,37
53476,2019,"cf","Male","pre","type2","p3","l1","nopc","b/c",516500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",1458000,"sb","pr","home","1U",4860,"CIB",725,"CIB","55-64","to_inst",35.42524005,"North","direct",1,53
100244,2019,"cf","Sex Not Available","pre","type1","p4","l1","nopc","nob/c",86500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",88000,"sb","pr","home","1U",3960,"CIB",865,"CIB","45-54","to_inst",98.29545455,"south","direct",1,35
76180,2019,"cf","Joint","nopre","type1","p1","l1","nopc","nob/c",286500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",4080,"EQUI",690,"EXP","35-44","not_inst",NA,"south","direct",1,NA
72655,2019,"cf","Sex Not Available","nopre","type1","p3","l1","nopc","nob/c",126500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",158000,"sb","pr","home","1U",3240,"CIB",663,"EXP","45-54","to_inst",80.06329114,"south","direct",1,43
54914,2019,"cf","Sex Not Available","nopre","type2","p4","l1","nopc","b/c",236500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",278000,"sb","pr","home","1U",NA,"CIB",802,"CIB","45-54","to_inst",85.07194245,"south","direct",1,NA
44560,2019,"cf","Female","nopre","type3","p4","l1","nopc","nob/c",206500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",248000,"sb","pr","home","1U",NA,"CRIF",573,"CIB","55-64","not_inst",83.26612903,"North","direct",1,NA
28723,2019,"cf","Sex Not Available","nopre","type3","p4","l1","nopc","nob/c",246500,NA,NA,NA,300,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",0,"EQUI",556,"EXP","45-54","to_inst",NA,"south","direct",1,NA
161509,2019,"cf","Joint","nopre","type1","p4","l1","nopc","nob/c",386500,NA,NA,NA,300,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",12060,"EQUI",886,"EXP","35-44","to_inst",NA,"south","direct",1,NA
105191,2019,"cf","Male","nopre","type2","p3","l1","nopc","b/c",496500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",1108000,"sb","pr","home","1U",4500,"EXP",720,"CIB","55-64","not_inst",44.81046931,"North","direct",1,49
105856,2019,"cf","Sex Not Available","pre","type3","p3","l1","nopc","nob/c",106500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",68000,"sb","pr","home","1U",4620,"EXP",671,"CIB","65-74","to_inst",156.6176471,"south","direct",1,37
51717,2019,"cf","Male","pre","type2","p1","l1","nopc","b/c",126500,NA,NA,NA,300,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",2520,"EQUI",718,"EXP","65-74","to_inst",NA,"North","direct",1,NA
31935,2019,"cf","Joint","nopre","type1","p3","l1","nopc","nob/c",376500,NA,NA,NA,360,"not_neg","not_int","lpsm",NA,"sb","pr","home","1U",12780,"EQUI",893,"EXP","65-74","to_inst",NA,"North","direct",1,NA
99492,2019,"cf","Sex Not Available","nopre","type3","p3","l1","nopc","nob/c",156500,NA,NA,NA,360,"not_neg","not_int","lpsm",NA,"sb","pr","home","1U",3180,"EQUI",837,"EXP","45-54","to_inst",NA,"south","direct",1,NA
36573,2019,"cf","Sex Not Available","nopre","type1","p4","l1","nopc","nob/c",56500,NA,NA,NA,180,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",1980,"EQUI",556,"EXP",">74","to_inst",NA,"south","direct",1,NA
36309,2019,NA,"Joint","nopre","type1","p2","l1","nopc","nob/c",106500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",3420,"EQUI",555,"EXP",">74","to_inst",NA,"south","direct",1,NA
34541,2019,"cf","Joint","nopre","type1","p1","l1","nopc","nob/c",476500,NA,NA,NA,360,"neg_amm","not_int","not_lpsm",NA,"sb","pr","home","1U",22020,"EQUI",874,"EXP","25-34","not_inst",NA,"south","direct",1,NA
93230,2019,"cf","Male","nopre","type2","p3","l1","nopc","b/c",66500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",780,"EQUI",834,"EXP","55-64","to_inst",NA,"North","direct",1,NA
73294,2019,"cf","Male","nopre","type1","p4","l1","nopc","nob/c",406500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",6180,"EQUI",740,"EXP","45-54","not_inst",NA,"North","direct",1,NA
139911,2019,"cf","Sex Not Available","pre","type1","p3","l1","nopc","nob/c",306500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",618000,"sb","ir","home","1U",0,"CIB",528,"CIB","45-54","to_inst",49.59546926,"south","direct",1,20
62704,2019,"cf","Female","nopre","type1","p3","l1","nopc","nob/c",356500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",458000,"sb","pr","home","2U",3120,"EXP",715,"CIB","45-54","to_inst",77.83842795,"North","direct",1,14
88379,2019,"cf","Male","nopre","type1","p2","l1","nopc","nob/c",76500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",98000,"sb","ir","home","1U",1380,"CRIF",691,"CIB",">74","to_inst",78.06122449,"North","direct",1,47
69318,2019,"cf","Sex Not Available","pre","type1","p4","l1","nopc","nob/c",426500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",4980,"EQUI",702,"EXP","65-74","not_inst",NA,"south","direct",1,NA
77890,2019,"cf","Male","nopre","type3","p3","l1","nopc","nob/c",276500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",258000,"sb","pr","home","1U",5820,"CRIF",655,"CIB","55-64","to_inst",107.1705426,"North","direct",1,43
112028,2019,"cf","Sex Not Available","nopre","type1","p3","l1","nopc","nob/c",486500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",568000,"sb","pr","home","1U",12060,"CRIF",742,"EXP","45-54","to_inst",85.65140845,"south","direct",1,41
166638,2019,"ncf","Joint","nopre","type1","p1","l1","nopc","nob/c",796500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",1228000,"sb","pr","home","1U",10500,"CRIF",854,"EXP","45-54","not_inst",64.86156352,"North","direct",1,54
83077,2019,"cf","Joint","nopre","type1","p1","l1","nopc","nob/c",526500,NA,NA,NA,360,"neg_amm","not_int","not_lpsm",NA,"sb","pr","home","1U",13560,"EQUI",829,"EXP","45-54","not_inst",NA,"North","direct",1,NA
136038,2019,"cf","Sex Not Available",NA,"type1","p4","l1","nopc","nob/c",366500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",408000,"sb","pr","home","1U",5580,"CRIF",878,"CIB","35-44","to_inst",89.82843137,"south","direct",1,21
147403,2019,"cf","Female","nopre","type1","p4","l1","nopc","nob/c",356500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",6180,"EQUI",632,"EXP","35-44","not_inst",NA,"North","direct",1,NA
44044,2019,"cf","Female","nopre","type1","p3","l2","nopc","nob/c",186500,NA,NA,NA,300,"neg_amm","int_only","not_lpsm",238000,"sb","pr","home","1U",2340,"EXP",867,"EXP","55-64","to_inst",78.36134454,"North","direct",1,39
139344,2019,"cf","Female","nopre","type1","p4","l1","nopc","nob/c",106500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",208000,"sb","pr","home","1U",1140,"EXP",885,"CIB",">74","to_inst",51.20192308,"North","direct",1,48
151289,2019,"cf","Sex Not Available","nopre","type1","p1","l1","nopc","nob/c",386500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",488000,"sb","pr","home","1U",7500,"EXP",559,"CIB","35-44","to_inst",79.20081967,"south","direct",1,30
43908,2019,"cf","Male","nopre","type1","p1","l1","nopc","nob/c",186500,NA,NA,NA,180,"not_neg","not_int","not_lpsm",258000,"sb","ir","home","1U",18900,"EXP",504,"CIB","55-64","to_inst",72.28682171,"North","direct",1,61
54837,2019,"cf","Sex Not Available","nopre","type1","p3","l1","nopc","nob/c",296500,NA,NA,NA,360,"neg_amm","not_int","not_lpsm",NA,"sb","pr","home","1U",7080,"EQUI",880,"EXP","45-54","to_inst",NA,"south","direct",1,NA
48749,2019,"cf","Joint","pre","type1","p4","l1","nopc","nob/c",326500,NA,NA,NA,180,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",6660,"EQUI",713,"EXP","65-74","to_inst",NA,"central","direct",1,NA
56068,2019,"ncf","Male","pre","type1","p4","l1","nopc","nob/c",666500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",698000,"sb","pr","home","1U",10620,"CRIF",648,"CIB","35-44","not_inst",95.48710602,"south","direct",1,21
111773,2019,"cf","Male","nopre","type1","p3","l1","nopc","nob/c",116500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",188000,"sb","pr","home","1U",1920,"CIB",703,"CIB","65-74","to_inst",61.96808511,"south","direct",1,44
166877,2019,"cf","Female","nopre","type1","p4","l1","nopc","nob/c",216500,NA,NA,NA,360,"not_neg","not_int","lpsm",NA,"sb","pr","home","1U",2700,"EQUI",577,"EXP","45-54","to_inst",NA,"North","direct",1,NA
168684,2019,"cf","Sex Not Available","nopre","type1","p3","l1","nopc","nob/c",286500,NA,NA,NA,360,"neg_amm","not_int","not_lpsm",388000,"sb","ir","home","1U",33180,"EXP",500,"EXP","45-54","to_inst",73.84020619,"south","direct",1,28
100344,2019,"cf","Sex Not Available","nopre","type1","p1","l1","nopc","nob/c",356500,NA,NA,NA,360,"not_neg","int_only","not_lpsm",NA,"sb","pr","home","1U",11460,"EQUI",691,"EXP","55-64","to_inst",NA,"south","direct",1,NA
33934,2019,"cf","Male","nopre","type1","p3","l1","nopc","nob/c",306500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",5040,"EQUI",857,"EXP","35-44","to_inst",NA,"south","direct",1,NA
48094,2019,"cf","Male","nopre","type2","p4","l1","nopc","b/c",626500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",678000,"sb","pr","home","1U",13860,"CIB",557,"CIB","55-64","to_inst",92.40412979,"North","direct",1,33
49685,2019,"cf","Female","nopre","type1","p4","l1","nopc","nob/c",266500,NA,NA,NA,144,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",6300,"EQUI",530,"EXP","55-64","to_inst",NA,"central","direct",1,NA
125596,2019,"cf","Joint","nopre","type3","p4","l1","nopc","nob/c",306500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",368000,"sb","pr","home","1U",NA,"CRIF",676,"EXP","55-64","not_inst",83.28804348,"central","direct",1,NA
105710,2019,"cf","Female","nopre","type3","p1","l1","nopc","nob/c",66500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",1680,"EQUI",581,"EXP","25-34","to_inst",NA,"North","direct",1,NA
72707,2019,"cf","Sex Not Available","nopre","type1","p1","l1","nopc","nob/c",296500,NA,NA,NA,360,"not_neg","int_only","not_lpsm",NA,"sb","pr","home","1U",9180,"EQUI",594,"EXP","45-54","to_inst",NA,"south","direct",1,NA
115315,2019,"cf","Sex Not Available","nopre","type1","p1","l1","nopc","nob/c",126500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",258000,"sb","pr","home","1U",900,"CIB",546,"CIB","45-54","to_inst",49.03100775,"south","direct",1,57
163828,2019,"cf","Male","nopre","type1","p1","l1","nopc","nob/c",246500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",3240,"EQUI",698,"EXP","45-54","to_inst",NA,"south","direct",1,NA
104246,2019,"cf","Female","nopre","type1","p3","l1","nopc","nob/c",126500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",168000,"sb","pr","home","1U",1860,"EXP",835,"CIB","25-34","not_inst",75.29761905,"North","direct",1,35
83879,2019,"cf","Sex Not Available","pre","type1","p3","l1","nopc","nob/c",116500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","2U",8280,"EQUI",640,"EXP","55-64","to_inst",NA,"south","direct",1,NA
61220,2019,"ncf","Joint","nopre","type1","p3","l1","nopc","nob/c",936500,NA,NA,NA,360,"neg_amm","not_int","not_lpsm",1708000,"sb","pr","home","1U",14760,"CIB",677,"EXP","35-44","not_inst",54.83021077,"North","direct",1,56
127665,2019,"cf","Joint","pre","type1","p3","l1","nopc","nob/c",486500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",1228000,"sb","pr","home","1U",600,"EXP",820,"EXP","45-54","not_inst",39.61726384,"south","direct",1,60
30358,2019,"cf","Joint","nopre","type1","p4","l1","nopc","nob/c",386500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",5400,"EQUI",894,"EXP","45-54","to_inst",NA,"south","direct",1,NA
40609,2019,"ncf","Joint","nopre","type1","p4","l1","nopc","nob/c",606500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",9780,"EQUI",876,"EXP","55-64","to_inst",NA,"North","direct",1,NA
138207,2019,"cf","Sex Not Available","nopre","type1","p4","l1","nopc","nob/c",76500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","ir","home","1U",4860,"EQUI",887,"EXP",">74","to_inst",NA,"south","direct",1,NA
114125,2019,"cf","Female","nopre","type1","p1","l1","nopc","nob/c",456500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",508000,"sb","pr","home","1U",0,"EXP",795,"CIB","25-34","not_inst",89.86220472,"south","direct",1,17
56914,2019,"cf","Male","nopre","type2","p1","l1","nopc","b/c",636500,NA,NA,NA,360,"not_neg","not_int","lpsm",548000,"sb","pr","home","1U",13680,"CRIF",520,"EXP","35-44","to_inst",116.149635,"central","direct",1,55
59234,2019,"cf","Joint","nopre","type1","p4","l1","nopc","nob/c",446500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","ir","home","1U",15600,"EQUI",703,"EXP","55-64","to_inst",NA,"south","direct",1,NA
101216,2019,"ncf","Joint","nopre","type1","p3","l1","nopc","nob/c",746500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",1988000,"sb","pr","home","1U",8880,"CRIF",819,"EXP","55-64","to_inst",37.55030181,"North","direct",1,42
48713,2019,"cf","Sex Not Available","nopre","type1","p3","l1","nopc","nob/c",96500,NA,NA,NA,360,"neg_amm","not_int","not_lpsm",108000,"sb","pr","home","1U",1380,"CRIF",506,"CIB","55-64","to_inst",89.35185185,"south","direct",1,21
163070,2019,"cf","Joint","nopre","type2","p1","l1","nopc","b/c",376500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",5640,"EQUI",561,"EXP","25-34","not_inst",NA,"North","direct",1,NA
74927,2019,"cf","Male","nopre","type3","p1","l1","nopc","nob/c",46500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",48000,"sb","pr","home","1U",3540,"EXP",802,"CIB","45-54","to_inst",96.875,"North","direct",1,30
169859,2019,"cf","Joint","nopre","type2","p3","l1","nopc","b/c",606500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",728000,"sb","pr","home","1U",8520,"CRIF",879,"EXP","45-54","to_inst",83.31043956,"North","direct",1,49
99512,2019,"cf","Female","nopre","type1","p3","l1","nopc","nob/c",116500,NA,NA,NA,360,"neg_amm","not_int","not_lpsm",578000,"sb","pr","home","1U",1560,"CRIF",536,"CIB","65-74","to_inst",20.15570934,"North","direct",1,41
135788,2019,"cf","Male","nopre","type2","p4","l1","nopc","b/c",506500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",0,"EQUI",803,"EXP","55-64","to_inst",NA,"south","direct",1,NA
125028,2019,"cf","Male","nopre","type1","p1","l1","nopc","nob/c",386500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",9000,"EQUI",632,"EXP","45-54","to_inst",NA,"North","direct",1,NA
35819,2019,"ncf","Male","nopre","type1","p1","l1","nopc","nob/c",736500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",29580,"EQUI",752,"EXP","45-54","not_inst",NA,"central","direct",1,NA
127922,2019,"cf","Sex Not Available","nopre","type1","p4","l1","nopc","nob/c",156500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",208000,"sb","pr","home","1U",4200,"CRIF",771,"EXP","35-44","to_inst",75.24038462,"south","direct",1,20
62211,2019,"cf","Sex Not Available","pre","type1","p3","l1","nopc","nob/c",326500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",348000,"sb","pr","home","1U",300,"CRIF",763,"CIB","55-64","to_inst",93.82183908,"south","direct",1,14
89084,2019,"cf","Joint","nopre","type3","p3","l1","nopc","nob/c",326500,NA,NA,NA,360,"not_neg","not_int","lpsm",358000,"sb","pr","home","1U",9840,"EXP",727,"EXP","55-64","to_inst",91.20111732,"North","direct",1,39
58840,2019,"cf","Joint","nopre","type1","p1","l2","nopc","nob/c",626500,NA,NA,NA,300,"neg_amm","not_int","not_lpsm",NA,"sb","pr","home","1U",NA,"EQUI",823,"EXP","25-34","to_inst",NA,"North","direct",1,NA
37807,2019,"cf","Joint","nopre","type1","p1","l2","nopc","nob/c",356500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",398000,"sb","pr","home","1U",11040,"EXP",606,"EXP","35-44","not_inst",89.57286432,"south","direct",1,15
153861,2019,"cf","Female","nopre","type1","p1","l1","nopc","nob/c",256500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",268000,"sb","pr","home","1U",3060,"CIB",683,"EXP","35-44","to_inst",95.70895522,"central","direct",1,60
37077,2019,"cf","Joint","nopre","type1","p1","l1","nopc","nob/c",146500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",NA,"sb","pr","home","1U",2580,"EQUI",573,"EXP","55-64","to_inst",NA,"North","direct",1,NA
88406,2019,"cf","Sex Not Available",NA,"type3","p3","l1","nopc","nob/c",416500,NA,NA,NA,360,"not_neg","not_int","not_lpsm",478000,"sb","pr","home","1U",10680,"CRIF",813,"EXP",">74","to_inst",87.13389121,"south","direct",1,35
